fips_county,gov,state,county,pop
49017,Republican,UT,"Garfield County, Utah",4986
46077,Republican,SD,"Kingsbury County, South Dakota",5001
20171,Republican,KS,"Scott County, Kansas",5032
17171,Republican,IL,"Scott County, Illinois",5053
32017,Republican,NV,"Lincoln County, Nevada",5055
38021,Republican,ND,"Dickey County, North Dakota",5064
19159,Republican,IA,"Ringgold County, Iowa",5068
20163,Republican,KS,"Rooks County, Kansas",5076
13249,Republican,GA,"Schley County, Georgia",5098
31169,Republican,NE,"Thayer County, Nebraska",5101
47137,Republican,TN,"Pickett County, Tennessee",5142
5013,Republican,AR,"Calhoun County, Arkansas",5144
48247,Republican,TX,"Jim Hogg County, Texas",5146
51045,Democratic,VA,"Craig County, Virginia",5158
31097,Republican,NE,"Johnson County, Nebraska",5171
31143,Republican,NE,"Polk County, Nebraska",5203
17059,Republican,IL,"Gallatin County, Illinois",5212
48119,Republican,TX,"Delta County, Texas",5215
31161,Republican,NE,"Sheridan County, Nebraska",5234
46015,Republican,SD,"Brule County, South Dakota",5238
29005,Republican,MO,"Atchison County, Missouri",5293
51595,Democratic,VA,"Emporia city, Virginia",5305
31011,Republican,NE,"Boone County, Nebraska",5332
40007,Republican,OK,"Beaver County, Oklahoma",5382
38073,Republican,ND,"Ransom County, North Dakota",5404
20147,Republican,KS,"Phillips County, Kansas",5428
13301,Republican,GA,"Warren County, Georgia",5442
46123,Republican,SD,"Tripp County, South Dakota",5492
20137,Republican,KS,"Norton County, Kansas",5493
37095,Democratic,NC,"Hyde County, North Carolina",5517
51580,Democratic,VA,"Covington city, Virginia",5518
2290,Independent,AK,"Yukon-Koyukuk Census Area, Alaska",5526
48195,Republican,TX,"Hansford County, Texas",5538
20201,Republican,KS,"Washington County, Kansas",5546
48483,Republican,TX,"Wheeler County, Texas",5546
46037,Republican,SD,"Day County, South Dakota",5571
20127,Republican,KS,"Morris County, Kansas",5573
20189,Republican,KS,"Stevens County, Kansas",5584
46129,Republican,SD,"Walworth County, South Dakota",5610
17155,Republican,IL,"Putnam County, Illinois",5611
17153,Republican,IL,"Pulaski County, Illinois",5619
46087,Republican,SD,"McCook County, South Dakota",5625
2016,Independent,AK,"Aleutians West Census Area, Alaska",5647
40029,Republican,OK,"Coal County, Oklahoma",5651
19009,Republican,IA,"Audubon County, Iowa",5678
48207,Republican,TX,"Haskell County, Texas",5681
20077,Republican,KS,"Harper County, Kansas",5685
47175,Republican,TN,"Van Buren County, Tennessee",5689
32015,Republican,NV,"Lander County, Nevada",5702
13259,Republican,GA,"Stewart County, Georgia",5705
48305,Republican,TX,"Lynn County, Texas",5711
31059,Republican,NE,"Fillmore County, Nebraska",5720
48317,Republican,TX,"Martin County, Texas",5723
55051,Republican,WI,"Iron County, Wisconsin",5726
46041,Republican,SD,"Dewey County, South Dakota",5742
30007,Democratic,MT,"Broadwater County, Montana",5747
48205,Republican,TX,"Hartley County, Texas",5747
30015,Democratic,MT,"Chouteau County, Montana",5759
31051,Republican,NE,"Dixon County, Nebraska",5762
17175,Republican,IL,"Stark County, Illinois",5776
54105,Democratic,WV,"Wirt County, West Virginia",5806
40003,Republican,OK,"Alfalfa County, Oklahoma",5827
31031,Republican,NE,"Cherry County, Nebraska",5832
26131,Republican,MI,"Ontonagon County, Michigan",5911
48153,Republican,TX,"Floyd County, Texas",5917
20143,Republican,KS,"Ottawa County, Kansas",5920
13201,Republican,GA,"Miller County, Georgia",5926
18115,Republican,IN,"Ohio County, Indiana",5932
40033,Republican,OK,"Cotton County, Oklahoma",5941
31167,Republican,NE,"Stanton County, Nebraska",5944
48411,Republican,TX,"San Saba County, Texas",5944
38049,Republican,ND,"McHenry County, North Dakota",5963
20181,Republican,KS,"Sherman County, Kansas",5965
48107,Republican,TX,"Crosby County, Texas",5992
40055,Republican,OK,"Greer County, Oklahoma",5998
46057,Republican,SD,"Hamlin County, South Dakota",6028
20069,Republican,KS,"Gray County, Kansas",6034
30099,Democratic,MT,"Teton County, Montana",6056
48065,Republican,TX,"Carson County, Texas",6057
19143,Republican,IA,"Osceola County, Iowa",6064
29205,Republican,MO,"Shelby County, Missouri",6082
30073,Democratic,MT,"Pondera County, Montana",6084
42113,Democratic,PA,"Sullivan County, Pennsylvania",6137
20073,Republican,KS,"Greenwood County, Kansas",6151
31035,Republican,NE,"Clay County, Nebraska",6163
29035,Republican,MO,"Carter County, Missouri",6168
13263,Republican,GA,"Talbot County, Georgia",6171
21075,Republican,KY,"Fulton County, Kentucky",6179
19173,Republican,IA,"Taylor County, Iowa",6216
40067,Republican,OK,"Jefferson County, Oklahoma",6230
20123,Republican,KS,"Mitchell County, Kansas",6243
29211,Republican,MO,"Sullivan County, Missouri",6262
47127,Republican,TN,"Moore County, Tennessee",6323
13037,Republican,GA,"Calhoun County, Georgia",6324
20053,Republican,KS,"Ellsworth County, Kansas",6328
31003,Republican,NE,"Antelope County, Nebraska",6329
2198,Independent,AK,"Prince of Wales-Hyder Census Area, Alaska",6347
26095,Republican,MI,"Luce County, Michigan",6358
21165,Republican,KY,"Menifee County, Kentucky",6408
46115,Republican,SD,"Spink County, South Dakota",6420
31093,Republican,NE,"Howard County, Nebraska",6429
48169,Republican,TX,"Garza County, Texas",6442
51530,Democratic,VA,"Buena Vista city, Virginia",6452
19185,Republican,IA,"Wayne County, Iowa",6452
29179,Republican,MO,"Reynolds County, Missouri",6455
49001,Republican,UT,"Beaver County, Utah",6463
17003,Republican,IL,"Alexander County, Illinois",6478
46101,Republican,SD,"Moody County, South Dakota",6505
51021,Democratic,VA,"Bland County, Virginia",6513
17047,Republican,IL,"Edwards County, Illinois",6523
51181,Democratic,VA,"Surry County, Virginia",6544
31021,Republican,NE,"Burt County, Nebraska",6546
31099,Republican,NE,"Kearney County, Nebraska",6552
32027,Republican,NV,"Pershing County, Nevada",6560
47067,Republican,TN,"Hancock County, Tennessee",6577
38009,Republican,ND,"Bottineau County, North Dakota",6579
21129,Republican,KY,"Lee County, Kentucky",6580
30005,Democratic,MT,"Blaine County, Montana",6601
13283,Republican,GA,"Treutlen County, Georgia",6637
5147,Republican,AR,"Woodruff County, Arkansas",6641
29075,Republican,MO,"Gentry County, Missouri",6661
29045,Republican,MO,"Clark County, Missouri",6723
21057,Republican,KY,"Cumberland County, Kentucky",6738
38005,Republican,ND,"Benson County, North Dakota",6739
20145,Republican,KS,"Pawnee County, Kansas",6743
17009,Republican,IL,"Brown County, Illinois",6762
51640,Democratic,VA,"Galax city, Virginia",6775
13065,Republican,GA,"Clinch County, Georgia",6829
5073,Republican,AR,"Lafayette County, Arkansas",6847
46047,Republican,SD,"Fall River County, South Dakota",6849
30077,Democratic,MT,"Powell County, Montana",6858
17071,Republican,IL,"Henderson County, Illinois",6869
2240,Independent,AK,"Southeast Fairbanks Census Area, Alaska",6876
22023,Democratic,LA,"Cameron Parish, Louisiana",6882
19151,Republican,IA,"Pocahontas County, Iowa",6886
20197,Republican,KS,"Wabaunsee County, Kansas",6891
17169,Republican,IL,"Schuyler County, Illinois",6923
54093,Democratic,WV,"Tucker County, West Virginia",6926
41063,Democratic,OR,"Wallowa County, Oregon",6946
19071,Republican,IA,"Fremont County, Iowa",6950
48377,Republican,TX,"Presidio County, Texas",6958
31127,Republican,NE,"Nemaha County, Nebraska",6971
46009,Republican,SD,"Bon Homme County, South Dakota",6984
19093,Republican,IA,"Ida County, Iowa",6985
20167,Republican,KS,"Russell County, Kansas",6988
51678,Democratic,VA,"Lexington city, Virginia",7045
54071,Democratic,WV,"Pendleton County, West Virginia",7051
48075,Republican,TX,"Childress County, Texas",7052
48111,Republican,TX,"Dallam County, Texas",7056
38067,Republican,ND,"Pembina County, North Dakota",7069
51036,Democratic,VA,"Charles City County, Virginia",7071
21181,Republican,KY,"Nicholas County, Kentucky",7084
19001,Republican,IA,"Adair County, Iowa",7092
31173,Republican,NE,"Thurston County, Nebraska",7127
46051,Republican,SD,"Grant County, South Dakota",7148
41023,Democratic,OR,"Grant County, Oregon",7158
51097,Democratic,VA,"King and Queen County, Virginia",7159
21237,Republican,KY,"Wolfe County, Kentucky",7159
31139,Republican,NE,"Pierce County, Nebraska",7159
5095,Republican,AR,"Monroe County, Arkansas",7169
13243,Republican,GA,"Randolph County, Georgia",7177
31095,Republican,NE,"Jefferson County, Nebraska",7177
48017,Republican,TX,"Bailey County, Texas",7181
18161,Republican,IN,"Union County, Indiana",7212
48047,Republican,TX,"Brooks County, Texas",7214
56045,Republican,WY,"Weston County, Wyoming",7236
22035,Democratic,LA,"East Carroll Parish, Louisiana",7271
19177,Republican,IA,"Van Buren County, Iowa",7271
41025,Democratic,OR,"Harney County, Oregon",7292
28063,Republican,MS,"Jefferson County, Mississippi",7297
55091,Republican,WI,"Pepin County, Wisconsin",7307
42053,Democratic,PA,"Forest County, Pennsylvania",7321
48391,Republican,TX,"Refugio County, Texas",7321
49025,Republican,UT,"Kane County, Utah",7334
54013,Democratic,WV,"Calhoun County, West Virginia",7336
28119,Republican,MS,"Quitman County, Mississippi",7349
46067,Republican,SD,"Hutchinson County, South Dakota",7368
51157,Democratic,VA,"Rappahannock County, Virginia",7388
56011,Republican,WY,"Crook County, Wyoming",7464
40141,Republican,OK,"Tillman County, Oklahoma",7465
48437,Republican,TX,"Swisher County, Texas",7466
20095,Republican,KS,"Kingman County, Kansas",7467
5039,Republican,AR,"Dallas County, Arkansas",7469
29041,Republican,MO,"Chariton County, Missouri",7516
48175,Republican,TX,"Goliad County, Texas",7517
30105,Democratic,MT,"Valley County, Montana",7539
47095,Republican,TN,"Lake County, Tennessee",7560
19195,Republican,IA,"Worth County, Iowa",7572
21063,Republican,KY,"Elliott County, Kentucky",7588
54073,Democratic,WV,"Pleasants County, West Virginia",7591
48283,Republican,TX,"La Salle County, Texas",7613
29057,Republican,MO,"Dade County, Missouri",7631
20067,Republican,KS,"Grant County, Kansas",7646
20043,Republican,KS,"Doniphan County, Kansas",7664
48069,Republican,TX,"Castro County, Texas",7669
2188,Independent,AK,"Northwest Arctic Borough, Alaska",7673
47027,Republican,TN,"Clay County, Tennessee",7752
40093,Republican,OK,"Major County, Oklahoma",7772
28037,Republican,MS,"Franklin County, Mississippi",7782
20003,Republican,KS,"Anderson County, Kansas",7827
13181,Republican,GA,"Lincoln County, Georgia",7828
31121,Republican,NE,"Merrick County, Nebraska",7828
41037,Democratic,OR,"Lake County, Oregon",7837
19135,Republican,IA,"Monroe County, Iowa",7870
20193,Republican,KS,"Thomas County, Kansas",7892
48495,Republican,TX,"Winkler County, Texas",7893
30057,Democratic,MT,"Madison County, Montana",7924
5101,Republican,AR,"Newton County, Arkansas",7936
47135,Republican,TN,"Perry County, Tennessee",7964
5129,Republican,AR,"Searcy County, Arkansas",7967
13309,Republican,GA,"Wheeler County, Georgia",7978
26153,Republican,MI,"Schoolcraft County, Michigan",8001
31101,Republican,NE,"Keith County, Nebraska",8018
13287,Republican,GA,"Turner County, Georgia",8030
38097,Republican,ND,"Traill County, North Dakota",8030
31023,Republican,NE,"Butler County, Nebraska",8052
21007,Republican,KY,"Ballard County, Kentucky",8054
31147,Republican,NE,"Richardson County, Nebraska",8060
17065,Republican,IL,"Hamilton County, Illinois",8061
21143,Republican,KY,"Lyon County, Kentucky",8069
47083,Republican,TN,"Houston County, Tennessee",8134
19053,Republican,IA,"Decatur County, Iowa",8141
20027,Republican,KS,"Clay County, Kansas",8143
18171,Republican,IN,"Warren County, Indiana",8166
29203,Republican,MO,"Shannon County, Missouri",8168
13289,Republican,GA,"Twiggs County, Georgia",8171
48307,Republican,TX,"McCulloch County, Texas",8172
12077,Republican,FL,"Liberty County, Florida",8202
29061,Republican,MO,"Daviess County, Missouri",8209
13269,Republican,GA,"Taylor County, Georgia",8232
56043,Republican,WY,"Washakie County, Wyoming",8235
5025,Republican,AR,"Cleveland County, Arkansas",8241
28019,Republican,MS,"Choctaw County, Mississippi",8242
54021,Democratic,WV,"Gilmer County, West Virginia",8249
5117,Republican,AR,"Prairie County, Arkansas",8251
26135,Republican,MI,"Oscoda County, Michigan",8264
28009,Republican,MS,"Benton County, Mississippi",8264
47169,Republican,TN,"Trousdale County, Tennessee",8271
13003,Republican,GA,"Atkinson County, Georgia",8273
48193,Republican,TX,"Hamilton County, Texas",8304
51620,Democratic,VA,"Franklin city, Virginia",8306
46125,Republican,SD,"Turner County, South Dakota",8317
48405,Republican,TX,"San Augustine County, Texas",8320
35037,Republican,NM,"Quay County, New Mexico",8365
5099,Republican,AR,"Nevada County, Arkansas",8398
21023,Republican,KY,"Bracken County, Kentucky",8400
54017,Democratic,WV,"Doddridge County, West Virginia",8413
48083,Republican,TX,"Coleman County, Texas",8420
1063,Republican,AL,"Greene County, Alabama",8422
20031,Republican,KS,"Coffey County, Kansas",8433
13253,Republican,GA,"Seminole County, Georgia",8468
56019,Republican,WY,"Johnson County, Wyoming",8486
48501,Republican,TX,"Yoakum County, Texas",8488
54075,Democratic,WV,"Pocahontas County, West Virginia",8501
26013,Republican,MI,"Baraga County, Michigan",8503
28053,Republican,MS,"Humphreys County, Mississippi",8513
13197,Republican,GA,"Marion County, Georgia",8524
22081,Democratic,LA,"Red River Parish, Louisiana",8550
29081,Republican,MO,"Harrison County, Missouri",8556
37075,Democratic,NC,"Graham County, North Carolina",8558
29137,Republican,MO,"Monroe County, Missouri",8558
31107,Republican,NE,"Knox County, Nebraska",8571
46033,Republican,SD,"Custer County, South Dakota",8596
21077,Republican,KY,"Gallatin County, Kentucky",8609
12067,Republican,FL,"Lafayette County, Florida",8617
21223,Republican,KY,"Trimble County, Kentucky",8620
13141,Republican,GA,"Hancock County, Georgia",8640
54101,Democratic,WV,"Webster County, West Virginia",8646
19117,Republican,IA,"Lucas County, Iowa",8647
18007,Republican,IN,"Benton County, Indiana",8650
31027,Republican,NE,"Cedar County, Nebraska",8671
