DATE,TWEXB
2002-02-06,129.8366
2002-02-13,129.5311
2002-02-20,129.3093
2002-02-27,129.8293
2002-03-06,129.4142
2002-03-13,128.5670
2002-03-20,128.6739
2002-03-27,129.0145
2002-04-03,129.1820
2002-04-10,128.8682
2002-04-17,128.7456
2002-04-24,128.2863
2002-05-01,127.6709
2002-05-08,127.4905
2002-05-15,127.6660
2002-05-22,126.6482
2002-05-29,126.3125
2002-06-05,125.8985
2002-06-12,126.1068
2002-06-19,125.9633
2002-06-26,124.8460
2002-07-03,124.2628
2002-07-10,124.0008
2002-07-17,122.9477
2002-07-24,123.1142
2002-07-31,124.7848
2002-08-07,125.4375
2002-08-14,125.3066
2002-08-21,124.8955
2002-08-28,125.1930
2002-09-04,124.8440
2002-09-11,125.3362
2002-09-18,126.2503
2002-09-25,126.8048
2002-10-02,126.8990
2002-10-09,127.2063
2002-10-16,127.3535
2002-10-23,127.1528
2002-10-30,126.6567
2002-11-06,125.9460
2002-11-13,125.2516
2002-11-20,125.6429
2002-11-27,126.0000
2002-12-04,126.1129
2002-12-11,125.8642
2002-12-18,124.8166
2002-12-25,124.4202
2003-01-01,124.2993
2003-01-08,124.1577
2003-01-15,123.5530
2003-01-22,123.2771
2003-01-29,123.1242
2003-02-05,123.3210
2003-02-12,123.7230
2003-02-19,123.5149
2003-02-26,123.1254
2003-03-05,122.8504
2003-03-12,122.1756
2003-03-19,123.3190
2003-03-26,123.5028
2003-04-02,122.6448
2003-04-09,122.9881
2003-04-16,122.1821
2003-04-23,121.4808
2003-04-30,120.8556
2003-05-07,119.2129
2003-05-14,117.9454
2003-05-21,117.4037
2003-05-28,117.3561
2003-06-04,117.4787
2003-06-11,117.3373
2003-06-18,116.7978
2003-06-25,117.4185
2003-07-02,117.7209
2003-07-09,117.8420
2003-07-16,118.5460
2003-07-23,119.0710
2003-07-30,118.6489
2003-08-06,119.6621
2003-08-13,119.2090
2003-08-20,119.7877
2003-08-27,120.5057
2003-09-03,120.2890
2003-09-10,119.4081
2003-09-17,118.9881
2003-09-24,117.5760
2003-10-01,116.9340
2003-10-08,116.4695
2003-10-15,116.0810
2003-10-22,116.2048
2003-10-29,115.8172
2003-11-05,116.4933
2003-11-12,116.3086
2003-11-19,115.6410
2003-11-26,115.8237
2003-12-03,115.3631
2003-12-10,114.6477
2003-12-17,114.5530
2003-12-24,114.3879
2003-12-31,113.7463
2004-01-07,112.7033
2004-01-14,111.8279
2004-01-21,112.8363
2004-01-28,112.7236
2004-02-04,113.5128
2004-02-11,112.8936
2004-02-18,112.2650
2004-02-25,113.4079
2004-03-03,114.3843
2004-03-10,114.2586
2004-03-17,114.6041
2004-03-24,113.8601
2004-03-31,113.9225
2004-04-07,113.7045
2004-04-14,114.5249
2004-04-21,115.4037
2004-04-28,115.9531
2004-05-05,116.0964
2004-05-12,117.2846
2004-05-19,117.5396
2004-05-26,116.8618
2004-06-02,115.7802
2004-06-09,115.5483
2004-06-16,116.1780
2004-06-23,115.9174
2004-06-30,115.4505
2004-07-07,114.8704
2004-07-14,114.5387
2004-07-21,114.4858
2004-07-28,115.5866
2004-08-04,115.8031
2004-08-11,115.1984
2004-08-18,114.9158
2004-08-25,114.8096
2004-09-01,115.2416
2004-09-08,115.1512
2004-09-15,114.8098
2004-09-22,114.6531
2004-09-29,114.3110
2004-10-06,113.9330
2004-10-13,113.5963
2004-10-20,113.2222
2004-10-27,112.1710
2004-11-03,111.7492
2004-11-10,110.7495
2004-11-17,110.3702
2004-11-24,109.5709
2004-12-01,108.7011
2004-12-08,108.6873
2004-12-15,109.6459
2004-12-22,109.3046
2004-12-29,108.6402
2005-01-05,108.7425
2005-01-12,109.5971
2005-01-19,109.3629
2005-01-26,109.7506
2005-02-02,109.7789
2005-02-09,110.3477
2005-02-16,109.9505
2005-02-23,109.2638
2005-03-02,109.1426
2005-03-09,108.8562
2005-03-16,108.4135
2005-03-23,109.0039
2005-03-30,110.1724
2005-04-06,110.2182
2005-04-13,110.1719
2005-04-20,110.1401
2005-04-27,109.7361
2005-05-04,109.9499
2005-05-11,109.7901
2005-05-18,110.8396
2005-05-25,111.0223
2005-06-01,111.2145
2005-06-08,111.2937
2005-06-15,111.9889
2005-06-22,111.4884
2005-06-29,111.6942
2005-07-06,112.5646
2005-07-13,112.1560
2005-07-20,112.0831
2005-07-27,111.7310
2005-08-03,111.1571
2005-08-10,110.5544
2005-08-17,110.0813
2005-08-24,110.9651
2005-08-31,110.8041
2005-09-07,109.8823
2005-09-14,110.1610
2005-09-21,110.5828
2005-09-28,111.1640
2005-10-05,111.2640
2005-10-12,111.2384
2005-10-19,111.8185
2005-10-26,111.7470
2005-11-02,111.5836
2005-11-09,112.3135
2005-11-16,112.6966
2005-11-23,112.5312
2005-11-30,112.1425
2005-12-07,111.9812
2005-12-14,111.4501
2005-12-21,111.4222
2005-12-28,111.6892
2006-01-04,111.3192
2006-01-11,110.2847
2006-01-18,110.3087
2006-01-25,109.8081
2006-02-01,109.7558
2006-02-08,110.3269
2006-02-15,110.5051
2006-02-22,110.5179
2006-03-01,110.1556
2006-03-08,110.2760
2006-03-15,110.7480
2006-03-22,110.2282
2006-03-29,110.9315
2006-04-05,110.4308
2006-04-12,110.3468
2006-04-19,109.9981
2006-04-26,109.1747
2006-05-03,107.9444
2006-05-10,107.0774
2006-05-17,107.0838
2006-05-24,107.9953
2006-05-31,107.8889
2006-06-07,107.8762
2006-06-14,108.8763
2006-06-21,109.0009
2006-06-28,109.3913
2006-07-05,108.4259
2006-07-12,108.1526
2006-07-19,108.9596
2006-07-26,108.7871
2006-08-02,108.1299
2006-08-09,107.7378
2006-08-16,107.8587
2006-08-23,107.6060
2006-08-30,107.8802
2006-09-06,107.6298
2006-09-13,108.2361
2006-09-20,108.2005
2006-09-27,108.0279
2006-10-04,108.1580
2006-10-11,108.6923
2006-10-18,108.7340
2006-10-25,108.3326
2006-11-01,107.5641
2006-11-08,107.6078
2006-11-15,107.6112
2006-11-22,107.8098
2006-11-29,106.9723
2006-12-06,106.2472
2006-12-13,106.4484
2006-12-20,106.7888
2006-12-27,106.9719
2007-01-03,106.8371
2007-01-10,107.6575
2007-01-17,107.7880
2007-01-24,107.6573
2007-01-31,107.8847
2007-02-07,107.6035
2007-02-14,107.4829
2007-02-21,106.9866
2007-02-28,106.9890
2007-03-07,107.1979
2007-03-14,107.0896
2007-03-21,106.6915
2007-03-28,106.2193
2007-04-04,106.1178
2007-04-11,105.9048
2007-04-18,105.3178
2007-04-25,104.8978
2007-05-02,104.8017
2007-05-09,104.6275
2007-05-16,104.5858
2007-05-23,104.4098
2007-05-30,104.2925
2007-06-06,103.9084
2007-06-13,104.4843
2007-06-20,104.3410
2007-06-27,104.3061
2007-07-04,103.6504
2007-07-11,103.2588
2007-07-18,102.6728
2007-07-25,102.4130
2007-08-01,103.1017
2007-08-08,102.8899
2007-08-15,103.5431
2007-08-22,104.0945
2007-08-29,103.4929
2007-09-05,103.3663
2007-09-12,102.7899
2007-09-19,102.2532
2007-09-26,101.0641
2007-10-03,100.7222
2007-10-10,100.5023
2007-10-17,100.2262
2007-10-24,99.9439
2007-10-31,99.1203
2007-11-07,98.3368
2007-11-14,98.2151
2007-11-21,98.8959
2007-11-28,98.7976
2007-12-05,99.0917
2007-12-12,99.1940
2007-12-19,99.9093
2007-12-26,99.6789
2008-01-02,98.9147
2008-01-09,98.6980
2008-01-16,98.6700
2008-01-23,99.0695
2008-01-30,98.2196
2008-02-06,97.9263
2008-02-13,98.3798
2008-02-20,98.1444
2008-02-27,97.4054
2008-03-05,96.2464
2008-03-12,96.0907
2008-03-19,95.4218
2008-03-26,96.0334
2008-04-02,95.6854
2008-04-09,95.5659
2008-04-16,95.2647
2008-04-23,95.2043
2008-04-30,95.7830
2008-05-07,96.0986
2008-05-14,96.2645
2008-05-21,95.7142
2008-05-28,95.3255
2008-06-04,95.7167
2008-06-11,96.0647
2008-06-18,96.3861
2008-06-25,95.9916
2008-07-02,95.6280
2008-07-09,95.7662
2008-07-16,94.9976
2008-07-23,94.9820
2008-07-30,95.4559
2008-08-06,96.0201
2008-08-13,97.7586
2008-08-20,98.5017
2008-08-27,98.2488
2008-09-03,99.2126
2008-09-10,100.4505
2008-09-17,100.8625
2008-09-24,99.6540
2008-10-01,100.4764
2008-10-08,103.8826
2008-10-15,106.0420
2008-10-22,107.8147
2008-10-29,110.2848
2008-11-05,107.7119
2008-11-12,108.5886
2008-11-19,110.1513
2008-11-26,110.8691
2008-12-03,110.6897
2008-12-10,110.7881
2008-12-17,107.5323
2008-12-24,106.5765
2008-12-31,106.9257
2009-01-07,107.3129
2009-01-14,108.2909
2009-01-21,110.0363
2009-01-28,109.9497
2009-02-04,110.6609
2009-02-11,110.4759
2009-02-18,111.9098
2009-02-25,112.8407
2009-03-04,114.2136
2009-03-11,114.2797
2009-03-18,112.4541
2009-03-25,109.7422
2009-04-01,110.7991
2009-04-08,109.6468
2009-04-15,109.1368
2009-04-22,109.6034
2009-04-29,109.3565
2009-05-06,108.1345
2009-05-13,106.7835
2009-05-20,106.3546
2009-05-27,104.9605
2009-06-03,104.1227
2009-06-10,104.9478
2009-06-17,105.1393
2009-06-24,105.2874
2009-07-01,105.1390
2009-07-08,105.5082
2009-07-15,105.5478
2009-07-22,104.1956
2009-07-29,103.6695
2009-08-05,103.0373
2009-08-12,103.4486
2009-08-19,103.6115
2009-08-26,103.1616
2009-09-02,103.7798
2009-09-09,103.1802
2009-09-16,102.3224
2009-09-23,101.9130
2009-09-30,102.2958
2009-10-07,101.9905
2009-10-14,100.7659
2009-10-21,100.4046
2009-10-28,101.0205
2009-11-04,101.4075
2009-11-11,100.8579
2009-11-18,100.3567
2009-11-25,100.3524
2009-12-02,99.9275
2009-12-09,100.3299
2009-12-16,100.9241
2009-12-23,101.8871
2009-12-30,101.6576
2010-01-06,101.1529
2010-01-13,100.7331
2010-01-20,100.9728
2010-01-27,101.9957
2010-02-03,102.5263
2010-02-10,103.1878
2010-02-17,102.7296
2010-02-24,102.7983
2010-03-03,102.4853
2010-03-10,102.0452
2010-03-17,101.5738
2010-03-24,101.9381
2010-03-31,102.1729
2010-04-07,101.5920
2010-04-14,101.1683
2010-04-21,101.3114
2010-04-28,101.7066
2010-05-05,102.2344
2010-05-12,103.5456
2010-05-19,104.2972
2010-05-26,105.6558
2010-06-02,105.2386
2010-06-09,105.8485
2010-06-16,104.8505
2010-06-23,104.0222
2010-06-30,104.4260
2010-07-07,104.1837
2010-07-14,103.3853
2010-07-21,103.2027
2010-07-28,102.6646
2010-08-04,101.7731
2010-08-11,101.7166
2010-08-18,102.4418
2010-08-25,102.9841
2010-09-01,103.1318
2010-09-08,102.5936
2010-09-15,101.8591
2010-09-22,101.3046
2010-09-29,100.1325
2010-10-06,99.3674
2010-10-13,98.6640
2010-10-20,98.4758
2010-10-27,98.8266
2010-11-03,98.5127
2010-11-10,98.0019
2010-11-17,99.2070
2010-11-24,99.4745
2010-12-01,100.5168
2010-12-08,99.6486
2010-12-15,99.6487
2010-12-22,100.0411
2010-12-29,99.5340
2011-01-05,98.7752
2011-01-12,99.3224
2011-01-19,98.3124
2011-01-26,98.1652
2011-02-02,97.8973
2011-02-09,97.7105
2011-02-16,98.2072
2011-02-23,97.7841
2011-03-02,97.4009
2011-03-09,96.9588
2011-03-16,97.1657
2011-03-23,96.7452
2011-03-30,96.6009
2011-04-06,96.1477
2011-04-13,95.6297
2011-04-20,95.3969
2011-04-27,94.6331
2011-05-04,93.9940
2011-05-11,94.9127
2011-05-18,95.6387
2011-05-25,95.8408
2011-06-01,95.2235
2011-06-08,94.7974
2011-06-15,95.2213
2011-06-22,95.4172
2011-06-29,95.5629
2011-07-06,94.7345
