DATE,cpi
1969-05-01,23.23
1969-06-01,23.41
1969-07-01,23.47
1969-08-01,23.53
1969-09-01,23.65
1969-10-01,23.71
1969-11-01,23.83
1969-12-01,23.95
1970-01-01,24
1970-02-01,24.12
1970-03-01,24.18
1970-04-01,24.36
1970-05-01,24.42
1970-06-01,24.48
1970-07-01,24.6
1970-08-01,24.66
1970-09-01,24.72
1970-10-01,24.84
1970-11-01,24.96
1970-12-01,25.07
1971-01-01,25.07
1971-02-01,25.19
1971-03-01,25.31
1971-04-01,25.43
1971-05-01,25.55
1971-06-01,25.67
1971-07-01,25.73
1971-08-01,25.73
1971-09-01,25.79
1971-10-01,25.85
1971-11-01,25.85
1971-12-01,25.91
1972-01-01,25.97
1972-02-01,26.08
1972-03-01,26.14
1972-04-01,26.2
1972-05-01,26.26
1972-06-01,26.38
1972-07-01,26.38
1972-08-01,26.44
1972-09-01,26.56
1972-10-01,26.62
1972-11-01,26.74
1972-12-01,26.8
1973-01-01,26.92
1973-02-01,27.09
1973-03-01,27.39
1973-04-01,27.57
1973-05-01,27.75
1973-06-01,27.93
1973-07-01,27.99
1973-08-01,28.46
1973-09-01,28.52
1973-10-01,28.7
1973-11-01,28.88
1973-12-01,29.06
1974-01-01,29.29
1974-02-01,29.71
1974-03-01,30.01
1974-04-01,30.18
1974-05-01,30.48
1974-06-01,30.72
1974-07-01,30.9
1974-08-01,31.25
1974-09-01,31.61
1974-10-01,31.85
1974-11-01,32.09
1974-12-01,32.26
1975-01-01,32.38
1975-02-01,32.56
1975-03-01,32.68
1975-04-01,32.86
1975-05-01,32.98
1975-06-01,33.27
1975-07-01,33.57
1975-08-01,33.75
1975-09-01,33.87
1975-10-01,34.05
1975-11-01,34.22
1975-12-01,34.4
1976-01-01,34.46
1976-02-01,34.58
1976-03-01,34.7
1976-04-01,34.82
1976-05-01,35.06
1976-06-01,35.23
1976-07-01,35.41
1976-08-01,35.59
1976-09-01,35.71
1976-10-01,35.89
1976-11-01,36.01
1976-12-01,36.13
1977-01-01,36.36
1977-02-01,36.72
1977-03-01,36.9
1977-04-01,37.2
1977-05-01,37.37
1977-06-01,37.61
1977-07-01,37.73
1977-08-01,37.91
1977-09-01,37.97
1977-10-01,38.09
1977-11-01,38.27
1977-12-01,40.56
1978-01-01,40.76
1978-02-01,40.96
1978-03-01,41.16
1978-04-01,41.53
1978-05-01,41.89
1978-06-01,42.14
1978-07-01,42.34
1978-08-01,42.58
1978-09-01,42.9
1978-10-01,43.15
1978-11-01,43.43
1978-12-01,43.75
1979-01-01,44.08
1979-02-01,44.44
1979-03-01,44.8
1979-04-01,45.21
1979-05-01,45.61
1979-06-01,46.1
1979-07-01,46.5
1979-08-01,46.87
1979-09-01,47.19
1979-10-01,47.67
1979-11-01,47.96
1979-12-01,48.44
1980-01-01,49.01
1980-02-01,49.58
1980-03-01,50.06
1980-04-01,50.38
1980-05-01,50.79
1980-06-01,51.11
1980-07-01,51.52
1980-08-01,51.96
1980-09-01,52.49
1980-10-01,52.81
1980-11-01,53.26
1980-12-01,53.58
1981-01-01,54.14
1981-02-01,54.75
1981-03-01,55.2
1981-04-01,55.44
1981-05-01,55.72
1981-06-01,56
1981-07-01,56.45
1981-08-01,56.81
1981-09-01,57.3
1981-10-01,57.58
1981-11-01,57.86
1981-12-01,58.07
1982-01-01,58.35
1982-02-01,58.55
1982-03-01,58.71
1982-04-01,58.71
1982-05-01,59.12
1982-06-01,59.64
1982-07-01,60.05
1982-08-01,60.17
1982-09-01,60.33
1982-10-01,60.7
1982-11-01,60.86
1982-12-01,60.98
1983-01-01,61.14
1983-02-01,61.18
1983-03-01,61.26
1983-04-01,61.75
1983-05-01,61.95
1983-06-01,62.11
1983-07-01,62.35
1983-08-01,62.52
1983-09-01,62.72
1983-10-01,62.96
1983-11-01,63.08
1983-12-01,63.28
1984-01-01,63.69
1984-02-01,64.01
1984-03-01,64.21
1984-04-01,64.46
1984-05-01,64.58
1984-06-01,64.7
1984-07-01,64.9
1984-08-01,65.06
1984-09-01,65.26
1984-10-01,65.47
1984-11-01,65.59
1984-12-01,65.79
1985-01-01,65.87
1985-02-01,66.19
1985-03-01,66.56
1985-04-01,66.64
1985-05-01,66.76
1985-06-01,66.96
1985-07-01,67.08
1985-08-01,67.21
1985-09-01,67.37
1985-10-01,67.53
1985-11-01,67.89
1985-12-01,68.14
1986-01-01,68.42
1986-02-01,68.3
1986-03-01,67.89
1986-04-01,67.65
1986-05-01,67.85
1986-06-01,68.05
1986-07-01,68.1
1986-08-01,68.18
1986-09-01,68.46
1986-10-01,68.54
1986-11-01,68.62
1986-12-01,68.86
1987-01-01,69.23
1987-02-01,69.47
1987-03-01,69.71
1987-04-01,70
1987-05-01,70.16
1987-06-01,70.48
1987-07-01,70.64
1987-08-01,70.93
1987-09-01,71.17
1987-10-01,71.29
1987-11-01,71.49
1987-12-01,71.61
1988-01-01,71.82
1988-02-01,71.9
1988-03-01,72.1
1988-04-01,72.46
1988-05-01,72.66
1988-06-01,72.95
1988-07-01,73.27
1988-08-01,73.47
1988-09-01,73.8
1988-10-01,74
1988-11-01,74.2
1988-12-01,74.4
1989-01-01,74.69
1989-02-01,74.93
1989-03-01,75.25
1989-04-01,75.78
1989-05-01,76.14
1989-06-01,76.34
1989-07-01,76.59
1989-08-01,76.59
1989-09-01,76.75
1989-10-01,77.07
1989-11-01,77.32
1989-12-01,77.56
1990-01-01,78.25
1990-02-01,78.53
1990-03-01,78.85
1990-04-01,79.01
1990-05-01,79.18
1990-06-01,79.58
1990-07-01,79.94
1990-08-01,80.59
1990-09-01,81.12
1990-10-01,81.6
1990-11-01,81.8
1990-12-01,82.01
1991-01-01,82.25
1991-02-01,82.25
1991-03-01,82.21
1991-04-01,82.37
1991-05-01,82.65
1991-06-01,82.81
1991-07-01,82.9
1991-08-01,83.1
1991-09-01,83.34
1991-10-01,83.42
1991-11-01,83.74
1991-12-01,83.99
1992-01-01,83.99
1992-02-01,84.15
1992-03-01,84.35
1992-04-01,84.55
1992-05-01,84.71
1992-06-01,84.92
1992-07-01,85.08
1992-08-01,85.28
1992-09-01,85.44
1992-10-01,85.73
1992-11-01,85.93
1992-12-01,86.09
1993-01-01,86.21
1993-02-01,86.37
1993-03-01,86.49
1993-04-01,86.78
1993-05-01,87.06
1993-06-01,87.1
1993-07-01,87.18
1993-08-01,87.34
1993-09-01,87.38
1993-10-01,87.75
1993-11-01,87.91
1993-12-01,88.03
1994-01-01,87.99
1994-02-01,88.15
1994-03-01,88.31
1994-04-01,88.48
